Prot_A,Prot_B,score,Disease
RPS11,RPL6,0.999,Alzheimer's Disease
RPS11,RPS24,0.999,Alzheimer's Disease
RPS11,RPL11,0.999,Alzheimer's Disease
RPS11,RPS18,0.999,Alzheimer's Disease
RPS11,RPL5,0.999,Alzheimer's Disease
RPS11,RPS19,0.999,Alzheimer's Disease
RPS11,RPL15,0.999,Alzheimer's Disease
RPS11,RPS8,0.999,Alzheimer's Disease
RPS11,RPS15,0.999,Alzheimer's Disease
RPS11,RPS6,0.999,Alzheimer's Disease
RPS11,RPL23A,0.999,Alzheimer's Disease
RPS11,RPL21,0.999,Alzheimer's Disease
RPS11,RPS23,0.999,Alzheimer's Disease
RPS11,RPS3,0.999,Alzheimer's Disease
RPS11,FAU,0.999,Alzheimer's Disease
RPS3,NPSR1,0.959,Alzheimer's Disease
RPS3,RPS6,0.999,Alzheimer's Disease
RPS3,RPS15,0.999,Alzheimer's Disease
RPS3,RPS8,0.999,Alzheimer's Disease
RPS3,RPL23A,0.999,Alzheimer's Disease
RPS3,RPS18,0.999,Alzheimer's Disease
RPS3,RPL5,0.999,Alzheimer's Disease
RPS3,RPL15,0.999,Alzheimer's Disease
RPS3,RPS19,0.999,Alzheimer's Disease
RPS3,RPL6,0.999,Alzheimer's Disease
RPS3,RPL13,0.999,Alzheimer's Disease
RPS3,RPS24,0.999,Alzheimer's Disease
RPS3,RPL11,0.999,Alzheimer's Disease
RPS3,FAU,0.999,Alzheimer's Disease
RPS3,RPS23,0.999,Alzheimer's Disease
RPS3,RPL21,0.999,Alzheimer's Disease
RPS23,NPSR1,0.949,Alzheimer's Disease
RPS23,RPS19,0.999,Alzheimer's Disease
RPS23,RPL15,0.999,Alzheimer's Disease
RPS23,RPS18,0.999,Alzheimer's Disease
RPS23,RPL5,0.999,Alzheimer's Disease
RPS23,RPS24,0.999,Alzheimer's Disease
RPS23,RPL11,0.999,Alzheimer's Disease
RPS23,RPL13,0.999,Alzheimer's Disease
RPS23,RPL6,0.999,Alzheimer's Disease
RPS23,RPL23A,0.999,Alzheimer's Disease
RPS23,RPS15,0.999,Alzheimer's Disease
RPS23,RPS8,0.999,Alzheimer's Disease
RPS23,RPS6,0.999,Alzheimer's Disease
RPS23,RPL21,0.999,Alzheimer's Disease
RPS23,FAU,0.999,Alzheimer's Disease
RPL13,NPSR1,0.957,Alzheimer's Disease
RPL13,RPL11,0.999,Alzheimer's Disease
RPL13,RPS24,0.999,Alzheimer's Disease
RPL13,RPL6,0.999,Alzheimer's Disease
RPL13,RPS19,0.999,Alzheimer's Disease
RPL13,RPL15,0.999,Alzheimer's Disease
RPL13,RPL5,0.999,Alzheimer's Disease
RPL13,RPS18,0.999,Alzheimer's Disease
RPL13,RPL23A,0.999,Alzheimer's Disease
RPL13,RPS15,0.999,Alzheimer's Disease
RPL13,RPS8,0.999,Alzheimer's Disease
RPL13,RPS6,0.999,Alzheimer's Disease
RPL13,RPL21,0.999,Alzheimer's Disease
RPL13,FAU,0.999,Alzheimer's Disease
RPL15,NPSR1,0.959,Alzheimer's Disease
RPL15,RPL11,0.999,Alzheimer's Disease
RPL15,RPS24,0.999,Alzheimer's Disease
RPL15,RPL6,0.999,Alzheimer's Disease
RPL15,RPS19,0.999,Alzheimer's Disease
RPL15,RPS18,0.999,Alzheimer's Disease
RPL15,RPL5,0.999,Alzheimer's Disease
RPL15,RPL23A,0.999,Alzheimer's Disease
RPL15,RPS15,0.999,Alzheimer's Disease
RPL15,RPS8,0.999,Alzheimer's Disease
RPL15,RPS6,0.999,Alzheimer's Disease
RPL15,RPL21,0.999,Alzheimer's Disease
RPL15,FAU,0.999,Alzheimer's Disease
RPL21,NPSR1,0.96,Alzheimer's Disease
RPL21,FAU,0.999,Alzheimer's Disease
RPL21,RPS6,0.999,Alzheimer's Disease
RPL21,RPS8,0.999,Alzheimer's Disease
RPL21,RPS15,0.999,Alzheimer's Disease
RPL21,RPL23A,0.999,Alzheimer's Disease
RPL21,RPS18,0.999,Alzheimer's Disease
RPL21,RPL5,0.999,Alzheimer's Disease
RPL21,RPS19,0.999,Alzheimer's Disease
RPL21,RPL6,0.999,Alzheimer's Disease
RPL21,RPL11,0.999,Alzheimer's Disease
RPL21,RPS24,0.999,Alzheimer's Disease
RPL5,NPSR1,0.96,Alzheimer's Disease
RPL5,FAU,0.999,Alzheimer's Disease
RPL5,RPS19,0.999,Alzheimer's Disease
RPL5,RPS18,0.999,Alzheimer's Disease
RPL5,RPL11,0.999,Alzheimer's Disease
