Title,PhaseScreenScore
Pila_ACJ,2.173
LA_85,2.172
CJ_16,2.171
LA_49,2.171
CJ_24E,2.171
LA_58,2.171
LA_42,2.17
LA_130,2.169
LA_28,2.169
CA-E8E,2.169
LA_38,2.169
LA_40,2.169
LA_59,2.168
CA-B1R,2.167
LA_25,2.167
Pila_21,2.167
CA-B19R,2.165
RA_59,2.164
LA_56,2.163
LA_45,2.162
LA_43,2.158
LA_46,2.156
CA-D4,2.154
CA-D12E,2.15
LA_26,2.149
RA_68R,2.149
Rafa_71B,2.147
CA-C3S,2.147
CA-B4,2.147
CA-F4,2.144
RA_60,2.144
RA_65,2.143
RA_62,2.142
RA_64,2.141
CJ_18,2.141
RA_58,2.14
Youn_38,2.139
CA-A3S,2.139
CA-E3S,2.139
Laug_68,2.136
CA-D2,2.136
CA-F2,2.135
CA-A12E,2.135
LA_27E,2.135
LA_27Z,2.135
LA_41Z,2.134
LA_51Z,2.134
My_92A1,2.13
Pila_R14,2.125
RA_50Z,2.123
RA_66,2.123
LA_84,2.121
LA_127,2.099
LA_125,2.097
CA-F1S,2.096
RA_63R,2.096
LA_128,2.092
RA-27S,2.091
RA_48S,2.09
CA-D11E,2.086
CA-D11Z,2.086
LA_57E,2.085
Pila_5,2.085
LA_44E,2.084
LA_47E,2.081
LA_47Z,2.079
CA-B7Z,2.074
CA-D7Z,2.073
Laug_67,2.07
LA_41E,2.07
CA-D13Z,2.069
RA-26R,2.061
Laug_72,2.048
Combretastatin_A4,2.048
RA_80Z,2.048
Andrea-2_11,2.044
My_374,2.041
LA_138,2.035
CA-F7Z,2.034
LA_52R,2.032
LA_89,2.025
Laug_17,2.023
My_10,2.021
Sara-2_117,2.016
LA_88,2.015
Pila_18,2.013
Andrea-2_14Z,2.013
LA_126,2.013
Andrea_12,2.01
Andrea-2_12,2.009
Sara-2_71,2.008
Raul_8,2.008
My_97,2.007
RA_78,2.007
My_352,2.006
Andrea_11,2.003
My_359,2.003
Pila_ACQ,1.999
RA-26S,1.998
Andrea-2_16,1.998
RA_63S,1.998
Andrea-2_14E,1.997
My_91,1.997
Sara_R42,1.995
RA_52S,1.995
My_27,1.993
My_27,1.993
LA_44Z,1.991
My_358,1.989
My_97,1.988
My_1,1.987
NMAR_4,1.981
Pila_14,1.98
Dani_14,1.979
LA_137,1.978
My_216,1.978
My_390,1.977
My_390,1.977
My_381,1.976
My_389,1.976
My_359,1.974
Pila_25,1.974
My_415,1.972
My_351,1.972
Pila_9,1.972
My_96,1.972
My_63trim,1.97
My_302,1.97
Pila_11D,1.969
My_99,1.969
My_99,1.966
Raul_7,1.963
Pila_P22,1.959
My_414,1.959
My_114,1.957
RA-27R,1.957
My_185,1.955
My_185,1.955
Pila_R27,1.951
My_131,1.948
NMAR_6,1.944
My_98,1.942
My_98,1.942
LA_129,1.942
LA_39R,1.942
NMAR_12,1.942
My_193P1,1.938
My_181,1.937
CA-F16R,1.936
Pila_30,1.936
Pila_R132,1.936
Pila_38,1.935
My_89,1.933
My_12,1.933
My_337,1.933
My_194,1.932
My_267,1.93
My_267,1.93
My_159,1.929
My_204A3,1.929
NMAR_8,1.928
Youn_95,1.927
NMAR_2,1.927
Raul_19,1.926
My_130,1.925
My_186,1.923
LA_60Z,1.923
My_172,1.922
Dani_10,1.922
My_160,1.92
My_76,1.919
Youn_120,1.919
Rafa_18-07,1.919
My_183,1.917
My_327B,1.915
My_197,1.912
My_377,1.912
LA_48S,1.912
My_399,1.911
Yaiza_19,1.911
My_26,1.911
Laug_19,1.911
My_40A1,1.909
My_366,1.908
My_399,1.908
My_361,1.908
LA_52S,1.907
RA_68S,1.907
CA-D1S,1.906
My_232,1.906
My_350,1.906
My_DANI11,1.906
My_24P3,1.906
Pila_O72,1.906
Rafa_18-21,1.905
My_136,1.904
Pila_L54,1.904
Laug_18,1.902
CA-D1R,1.902
My_113P1,1.902
